0,1,2
through,Change,0.3742443919181824
details,Section,0.34841188788414
version,"I,",0.34009507298469543
implements,Include,0.3400247097015381
manner,ensure,0.3365271985530853
ensure,manner,0.33652716875076294
details,"presents,",0.3339208960533142
previewing,CAT,0.3265787363052368
CAT,previewing,0.32657870650291443
in,Management,0.3227275609970093
assets,Manager,0.31828510761260986
through,The,0.31753191351890564
The,through,0.31753191351890564
which,Baseline,0.31687799096107483
initial,"IAVA,",0.31649866700172424
on,requests,0.31512612104415894
requests,on,0.31512612104415894
The,approved),0.31369054317474365
required,"fashion,",0.3098950684070587
ensuring,which,0.30866941809654236
which,ensuring,0.30866938829421997
OD,"change,",0.3079070746898651
annual,RACI,0.30053552985191345
evaluation,"reviews,",0.29961690306663513
assets,Comments,0.2992857098579407
cycle,Assessment,0.29890477657318115
evaluation,processed.,0.2950049936771393
attributes,valid,0.2883341610431671
valid,attributes,0.2883341312408447
to,CAB,0.28765103220939636
CAB,to,0.2876509726047516
maintained,3,0.28710299730300903
notified,each,0.2869044840335846
each,notified,0.2869044840335846
ensure,Statistical,0.28650087118148804
through,OD,0.28319251537323
OD,through,0.28319251537323
version,only,0.2829354703426361
only,version,0.2829354405403137
entails,maintained,0.278701514005661
maintained,entails,0.2787014842033386
appropriate,each,0.27826327085494995
each,appropriate,0.27826324105262756
only,procedural,0.27641260623931885
procedural,only,0.27641260623931885
document,Director,0.27523449063301086
an,Director,0.27489760518074036
purpose,Requests,0.2746744155883789
applied,version,0.2738492488861084
version,applied,0.273849219083786
behalf,Request,0.27206510305404663
first,4:,0.2718048691749573
NIH,(Software,0.27114227414131165
CAB,(CAB),0.2710331082344055
and,stakeholders,0.27092161774635315
a,Expiration/mitigation,0.26847198605537415
communicates,about,0.26791277527809143
about,communicates,0.26791277527809143
CAT,procedural,0.2677707374095917
procedural,CAT,0.2677707374095917
change,Comments,0.2672460377216339
implements,Program,0.26709112524986267
date,Process,0.26630091667175293
which,participants,0.2662668526172638
participants,which,0.2662668526172638
must,Assessment,0.2661338746547699
they,Reporting,0.26520997285842896
applied,Requests,0.26493653655052185
accordance,"tool(s),",0.2639144957065582
which,action,0.26378190517425537
action,which,0.2637818455696106
performing,Statistical,0.26132526993751526
CAT,can,0.26008325815200806
a,Template,0.2600516676902771
CAB,a,0.2597317099571228
a,CAB,0.2597317099571228
as,through,0.25951385498046875
through,as,0.25951382517814636
that,accurate,0.25888872146606445
accurate,that,0.25888869166374207
action,through,0.25833576917648315
through,action,0.25833573937416077
and,throughout,0.2568550407886505
throughout,and,0.2568550407886505
overall,Template,0.2564144730567932
ensuring,Strategy,0.2562183737754822
required,on,0.25506749749183655
on,required,0.25506749749183655
CAB,1:,0.25460973381996155
types,all,0.25453615188598633
all,types,0.25453612208366394
requests,Accountability,0.25448450446128845
all,Tester,0.2543623447418213
formally,"fashion,",0.25352510809898376
change,1:,0.2530212998390198
approves,in,0.2525002956390381
in,approves,0.2525002956390381
NIH,Document,0.2522664964199066
annual,(Software,0.2514511048793793
evaluation,Office,0.2509850561618805
on,Requests,0.2508978247642517
formally,RFCs,0.2502233684062958
relevant,Example,0.25018826127052307
entails,fulfill,0.24986813962459564
fulfill,entails,0.24986810982227325
than,(Required,0.2491588592529297
previewing,any,0.2488469034433365
applied,"fashion,",0.24827517569065094
an,for,0.2481658160686493
approves,through,0.2480236142873764
through,approves,0.2480235993862152
inform,previewing,0.247164785861969
previewing,inform,0.2471647560596466
this,As,0.24685637652873993
as,Changes/Hardware,0.2463940531015396
through,"change,",0.2463594675064087
must,"presents,",0.24633806943893433
installation,"I,",0.24610258638858795
approves,entails,0.24500174820423126
entails,approves,0.24500173330307007
relevant,accurate,0.24492232501506805
accurate,relevant,0.24492229521274567
each,Changes/Hardware,0.24488556385040283
types,details,0.24471689760684967
details,types,0.2447168529033661
with,Office,0.2437954545021057
insure,Cyber,0.24377888441085815
attributes,"I,",0.24299143254756927
CAB,Example,0.2422681748867035
installation,ensuring,0.24196936190128326
ensuring,installation,0.24196934700012207
proposed,Reporting,0.2416401356458664
document,Sample,0.2414713203907013
behalf,Testing,0.2412625253200531
to,Statistical,0.2412584275007248
maintained,Management,0.24075189232826233
accurate,accordance,0.2403978705406189
accordance,accurate,0.2403978556394577
audits,throughout,0.2401711344718933
throughout,audits,0.24017108976840973
accurate,are,0.23946045339107513
affected,Requests,0.2392018884420395
or,Board,0.23903627693653107
OD,"IAVA,",0.23838619887828827
entails,about,0.23834265768527985
about,entails,0.23834264278411865
behalf,Reports,0.23763272166252136
with,Requests,0.23727881908416748
they,only,0.23717693984508514
only,they,0.23717693984508514
goal,on,0.2362554967403412
on,goal,0.2362554967403412
entails,how,0.23609356582164764
required,,0.23574399948120117
changes,other,0.23558102548122406
is,RACI,0.23520702123641968
notified,behalf,0.2348337471485138
behalf,notified,0.2348337322473526
above,for,0.23463726043701172
valid,"reviews,",0.23433420062065125
details,approved),0.23432676494121552
first,-,0.2342950999736786
applied,test,0.23410524427890778
change,assets,0.23387402296066284
assets,change,0.23387397825717926
performed,processed.,0.2336999773979187
stored,(CAB),0.23356086015701294
insure,Program,0.23322099447250366
throughout,2:,0.23281016945838928
throughout,changes,0.23268695175647736
changes,throughout,0.23268692195415497
first,(CAB),0.23266848921775818
proposed,Changes),0.2324523776769638
required,can,0.23153211176395416
accordance,processed.,0.23112450540065765
attributes,participants,0.23107734322547913
participants,attributes,0.23107734322547913
approved,"IAVA,",0.23104403913021088
notified,throughout,0.23085825145244598
throughout,notified,0.2308581918478012
entails,stakeholders,0.23021294176578522
insure,they,0.2301391214132309
they,insure,0.2301391065120697
evaluation,-,0.22993138432502747
stored,Office,0.22992800176143646
with,orderly/timely,0.22957532107830048
as,CAT,0.22931425273418427
CAT,as,0.22931422293186188
initial,implements,0.2293015569448471
implements,initial,0.2293015569448471
procedural,Director,0.22909405827522278
RFC,"processes,",0.2290886789560318
cycle,about,0.2288292646408081
about,cycle,0.2288292497396469
installation,Process,0.22877585887908936
performing,entails,0.22844676673412323
entails,performing,0.22844673693180084
assessment,"stakeholders,",0.22698315978050232
maintained,Document,0.22659434378147125
required,be,0.22625958919525146
must,follows:,0.22585730254650116
assessment,requirements,0.2251083105802536
requirements,assessment,0.2251082956790924
or,approved),0.22479209303855896
evaluation,performed,0.22422780096530914
performed,evaluation,0.22422778606414795
or,control.,0.22389768064022064
required,IAVA,0.22385241091251373
approved,requirements,0.22365222871303558
requirements,approved,0.22365222871303558
initial,Request,0.2225823551416397
changes,Template,0.22225122153759003
and,assessment,0.22219644486904144
assessment,and,0.22219644486904144
on,,0.22218938171863556
previewing,Expiration/mitigation,0.22148627042770386
previewing,IAVA,0.22111967206001282
a,Sample,0.2211190015077591
evaluation,change,0.22076816856861115
change,evaluation,0.22076816856861115
applied,performing,0.22064855694770813
performing,applied,0.22064854204654694
all,which,0.22062094509601593
which,all,0.22062091529369354
approves,1:,0.2204807549715042
throughout,are,0.22042903304100037
about,orderly/timely,0.22010080516338348
cycle,overall,0.21985182166099548
overall,cycle,0.2198518067598343
must,II,0.2198420912027359
that,(CAB),0.21941344439983368
first,the,0.21922937035560608
the,first,0.21922937035560608
proposed,Office,0.2188798487186432
through,any,0.21877162158489227
date,all,0.2187599539756775
all,date,0.2187599241733551
recommend,Matrix,0.21797962486743927
manner,approves,0.2176995724439621
approves,manner,0.21769952774047852
this,maintained,0.21748265624046326
maintained,this,0.21748265624046326
CAT,follows:,0.2173408716917038
on,implements,0.21720071136951447
implements,on,0.21720068156719208
installation,Stakeholders.,0.2171720415353775
behalf,change(s).,0.21682623028755188
accurate,only,0.21679887175559998
only,accurate,0.21679885685443878
valid,"I,",0.2165805548429489
than,Manager,0.21626512706279755
attributes,an,0.2161794900894165
an,attributes,0.2161794751882553
each,NIH,0.21575632691383362
NIH,each,0.21575632691383362
document,any,0.21573112905025482
they,Manager,0.21541397273540497
that,must,0.2151910811662674
must,that,0.2151910662651062
implements,As,0.21468313038349152
valid,inform,0.21448089182376862
inform,valid,0.21448087692260742
is,Requests,0.21441702544689178
ChM,applied,0.21431009471416473
applied,ChM,0.21431007981300354
requests,RFCs,0.21427105367183685
overall,details,0.21420399844646454
details,overall,0.21420398354530334
all,Approved/Suspended/Cancelled/Superseded),0.21397124230861664
notified,an,0.2138819396495819
an,notified,0.2138819396495819
annual,above,0.21351292729377747
above,annual,0.21351288259029388
fulfill,are,0.2134290337562561
or,RACI,0.21323394775390625
procedural,,0.21312420070171356
risk,types,0.21274544298648834
types,risk,0.21274544298648834
a,purpose,0.21240678429603577
purpose,a,0.21240678429603577
participants,audits,0.21204304695129395
audits,participants,0.21204303205013275
to,II,0.21203051507472992
goal,request,0.2117680013179779
request,goal,0.2117679864168167
overall,or,0.21168410778045654
or,overall,0.21168409287929535
than,Director,0.21149133145809174
maintained,"I,",0.2112303376197815
document,control.,0.2110801637172699
performed,about,0.21106240153312683
about,performed,0.21106240153312683
communicates,Action,0.21087460219860077
to,Matrix,0.21035869419574738
relevant,or,0.2100619375705719
or,relevant,0.2100619077682495
procedural,version,0.20977434515953064
version,procedural,0.20977433025836945
NIH,"tool(s),",0.2090853452682495
this,Stakeholders.,0.20888160169124603
performed,(Software,0.20849686861038208
each,through,0.20830263197422028
through,each,0.20830263197422028
with,3:,0.20801213383674622
ChM,CAT,0.20796100795269012
CAT,ChM,0.20796097815036774
stored,"presents,",0.20790889859199524
procedural,with,0.20786239206790924
with,procedural,0.20786239206790924
initial,or,0.20783747732639313
or,initial,0.20783746242523193
action,ensuring,0.20777344703674316
ensuring,action,0.20777341723442078
ChM,that:,0.2075735479593277
on,control.,0.2074676901102066
CAB,Changes/Hardware,0.20739957690238953
as,about,0.2073284387588501
about,as,0.20732839405536652
each,Change,0.20717184245586395
all,2:,0.20642153918743134
to,well,0.2064194232225418
each,will,0.2061886340379715
ensure,fulfill,0.20590993762016296
fulfill,ensure,0.20590990781784058
must,and,0.20581232011318207
and,must,0.20581232011318207
approves,appropriate,0.20572051405906677
appropriate,approves,0.20572049915790558
valid,(CAB),0.20568989217281342
assessment,"therefore,",0.2055039405822754
each,(Software,0.20477476716041565
fulfill,Template,0.20473480224609375
manner,goal,0.20458517968654633
goal,manner,0.20458517968654633
OD,with,0.20449776947498322
with,OD,0.20449775457382202
about,Action,0.20435482263565063
purpose,RFCs,0.2042587250471115
CAT,through,0.20418383181095123
through,CAT,0.20418381690979004
OD,III,0.20397529006004333
procedural,Changes/Hardware,0.20380236208438873
to,Change,0.2037649154663086
document,Include,0.20366986095905304
relevant,Section,0.20345596969127655
requests,Tester,0.20314422249794006
accurate,"I,",0.20306822657585144
stored,(ChM),0.20263677835464478
affected,"stakeholders,",0.2024293690919876
action,Management,0.20241887867450714
about,approves,0.20224317908287048
approves,about,0.2022431343793869
CAB,recommend,0.20219653844833374
recommend,CAB,0.20219653844833374
audits,NIH,0.2019059807062149
NIH,audits,0.2019059658050537
implements,OD’s,0.2018503099679947
only,will,0.20173273980617523
only,performed,0.20122934877872467
performed,only,0.20122934877872467
action,Requests,0.20091456174850464
implements,control.,0.20088225603103638
relevant,"fashion,",0.2003883421421051
all,"IAVA,",0.2002415657043457
or,IAVA,0.20016899704933167
assessment,can,0.20012560486793518
approved,will,0.20010903477668762
policies,proposed,0.2000916451215744
proposed,policies,0.2000916302204132
first,Change,0.19978874921798706
proposed,valid,0.19978664815425873
valid,proposed,0.19978663325309753
stored,Changes),0.1996927410364151
overall,changes,0.19967877864837646
changes,overall,0.19967877864837646
evaluation,Template,0.19964025914669037
formally,basis),0.19963379204273224
an,Changes/Hardware,0.19922150671482086
communicates,"tool(s),",0.19921524822711945
relevant,vote,0.1991661936044693
performing,Process,0.1991422027349472
types,"presents,",0.19878485798835754
version,"IAVA,",0.19844147562980652
performing,Document,0.1983022540807724
accurate,document,0.19797562062740326
document,accurate,0.19797559082508087
attributes,entails,0.1977812498807907
entails,attributes,0.19778120517730713
appropriate,entails,0.19760912656784058
entails,appropriate,0.19760911166667938
participants,Stakeholders.,0.197456493973732
about,processed.,0.1974104940891266
accurate,an,0.1974029242992401
an,accurate,0.1974029242992401
each,approves,0.19738684594631195
approves,each,0.19738681614398956
an,will,0.19713440537452698
goal,inform,0.19709734618663788
inform,goal,0.1970973163843155
fulfill,"stakeholders,",0.19708122313022614
goal,vote,0.19707515835762024
an,"I,",0.19704093039035797
each,version,0.19704023003578186
version,each,0.19704023003578186
performed,ChM,0.19693347811698914
ChM,performed,0.19693346321582794
participants,data,0.19674059748649597
CAT,"reviews,",0.1967243254184723
about,Stakeholders.,0.196657195687294
appropriate,Management,0.1965586096048355
communicates,initial,0.19646872580051422
initial,communicates,0.19646869599819183
participants,all,0.19638922810554504
all,participants,0.19638922810554504
manner,evaluation,0.1963474303483963
evaluation,manner,0.1963474154472351
details,data,0.19632792472839355
goal,III,0.19591061770915985
date,entails,0.19574673473834991
entails,date,0.19574670493602753
this,-,0.19566424190998077
communicates,participants,0.19559364020824432
participants,communicates,0.19559362530708313
behalf,IAVA,0.19537360966205597
maintained,Director,0.1952691227197647
date,Include,0.19501656293869019
responsible,"therefore,",0.19499872624874115
purpose,(Software,0.194662943482399
necessary,they,0.19446751475334167
they,necessary,0.19446749985218048
required,well,0.19446024298667908
this,Process,0.19438308477401733
is,relevant,0.19428618252277374
relevant,is,0.19428618252277374
goal,control.,0.1941596120595932
only,"stakeholders,",0.1941322237253189
inform,Include,0.19363634288311005
about,Example,0.19360899925231934
is,appropriate,0.19346213340759277
appropriate,is,0.19346210360527039
performing,"I,",0.19344887137413025
procedural,"therefore,",0.1932400017976761
ChM,Requests,0.19305023550987244
implements,to,0.19298596680164337
to,implements,0.19298595190048218
document,"fashion,",0.1928950399160385
overall,a,0.19284234941005707
a,overall,0.19284234941005707
change,-,0.19283436238765717
throughout,action,0.1927718222141266
action,throughout,0.1927718073129654
an,Agenda,0.19247384369373322
relevant,,0.19242583215236664
must,Stakeholders.,0.19240295886993408
they,"changes,",0.19238844513893127
ensuring,-,0.19218020141124725
action,appropriate,0.19207319617271423
appropriate,action,0.19207318127155304
types,"IAVA,",0.19204828143119812
the,CAB,0.19198520481586456
CAB,the,0.19198518991470337
OD,(Required,0.19196122884750366
requirements,Changes),0.19194626808166504
assessment,goal,0.19189448654651642
goal,assessment,0.19189448654651642
behalf,2:,0.19176656007766724
types,requirements,0.1917283684015274
requirements,types,0.1917283684015274
behalf,follows:,0.19169603288173676
all,control.,0.19164563715457916
formally,this,0.19160571694374084
this,formally,0.19160571694374084
policies,(Approved/NIH,0.19160185754299164
communicates,"I,",0.1913226693868637
CAT,"fashion,",0.19118566811084747
requests,accordance,0.1911468356847763
accordance,requests,0.1911468207836151
recommend,accordance,0.1910087764263153
accordance,recommend,0.1910087615251541
assets,Process,0.19100625813007355
NIH,Action,0.19095726311206818
performed,the,0.19093136489391327
the,performed,0.1909313201904297
evaluation,"stakeholders,",0.19074833393096924
implements,performing,0.19074705243110657
performing,implements,0.19074705243110657
procedural,ChM,0.190735325217247
ChM,procedural,0.190735325217247
attributes,control.,0.1904146373271942
ensuring,"processes,",0.1901916116476059
procedural,vote,0.1901845782995224
in,be,0.19018004834651947
The,III,0.19007441401481628
this,These,0.18997348845005035
risk,Testing,0.1899505853652954
than,Expiration/mitigation,0.189895361661911
with,(Required,0.18972378969192505
attributes,Director,0.18950526416301727
stored,"therefore,",0.18931758403778076
assets,Requests,0.18922659754753113
than,processed.,0.18908396363258362
manner,action,0.1889720857143402
action,manner,0.18897205591201782
requests,can,0.18893899023532867
date,-,0.18889029324054718
accurate,View,0.18850192427635193
initial,RACI,0.1883791983127594
valid,4:,0.18835584819316864
as,basis),0.18794672191143036
stored,performing,0.18791243433952332
performing,stored,0.18791241943836212
communicates,Manager,0.18777312338352203
that,RFC,0.18774870038032532
RFC,that,0.18774868547916412
fulfill,overall,0.18757428228855133
overall,fulfill,0.18757426738739014
requests,types,0.18753258883953094
types,requests,0.18753257393836975
The,"therefore,",0.18723638355731964
participants,policies,0.18721666932106018
policies,participants,0.187216654419899
throughout,Testing,0.18721561133861542
than,(Approved/NIH,0.18707215785980225
types,Accountability,0.18679587543010712
ChM,"fashion,",0.18666690587997437
ChM,about,0.18660278618335724
about,ChM,0.18660278618335724
required,the,0.18660013377666473
the,required,0.18660011887550354
